0,1
4.0,65.641
5.0,94.529
6.0,80.896
7.0,100.008
8.0,38.391
9.0,82.949
10.0,101.376
11.0,69.0
12.0,131.313
13.0,134.204
14.0,107.053
15.0,134.19
16.0,87.016
17.0,83.482
18.0,142.163
19.0,58.91
20.0,111.425
21.0,114.971
22.0,108.504
23.0,180.636
24.0,105.314
25.0,108.41
26.0,104.363
27.0,81.121
28.0,95.924
29.0,97.808
30.0,136.544
31.0,145.762
32.0,79.598
33.0,105.618
34.0,78.467
35.0,99.154
36.0,138.463
37.0,149.572
38.0,100.991
39.0,125.495
40.0,126.629
41.0,131.879
42.0,70.974
43.0,59.651
44.0,133.524
45.0,103.253
46.0,70.382
47.0,70.536
48.0,94.875
49.0,121.651
50.0,81.403
51.0,64.527
52.0,142.404
53.0,66.978
